Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
SVM,0.8503401360544217,0.6363636363636364,0.14893617021276595,0.2413793103448276,0.5663709191144802
KNN,0.8503401360544217,0.6666666666666666,0.1276595744680851,0.21428571428571427,0.5577569127401154
Random Forest,0.8401360544217688,0.5,0.0851063829787234,0.14545454545454545,0.5344560254974589
Decision Tree,0.7789115646258503,0.29545454545454547,0.2765957446808511,0.2857142857142857,0.5755448359031786
Logistic Regression,0.7687074829931972,0.38202247191011235,0.723404255319149,0.5,0.7503660952709106
Naive Bayes,0.7414965986394558,0.34065934065934067,0.6595744680851063,0.4492753623188406,0.7083297441640107
